HO;KOR;TOMEG;TESTH;SZORH
278;2;1.5;23;115;3.7
279;2;10;26;115;4
280;9;3.5;25;115;4
281;5;4;30.6;116;3.2
282;12;1.5;26;116;3.5
283;12;1.5;23.5;116;3.5
284;1;10;21.5;116;3.6
285;2;6.5;27;116;4
286;1;9.5;24.5;117;3.3
287;5;2;22.8;117;3.5
288;5;1;22;117;3.5
289;12;6.5;26;117;3.7
290;1;5;22.5;117;4
291;2;4;25;117;4
292;1;7;27.2;118;3.5
293;2;11;27.5;119;3.5
294;5;6;30;119;3.5
295;1;8.5;22;119;3.8
296;1;10;26;119;3.8
297;11;1.5;24.5;121;3.5
298;1;13;23.5;121;4
299;2;1.5;26.2;121.5;4
300;12;2.5;27.5;124;3.7
301;2;9.5;24.5;125;4
302;2;7.5;28;128;3.8
